held_out_country,model,feature,standardised_coefficient,selected_alpha
COD,governance_plus_controls,government_effectiveness__score_0_1,0.09056320394534739,56.23413251903491
COD,governance_plus_controls,political_stability__score_0_1,0.10082329357876392,56.23413251903491
COD,governance_plus_controls,regulatory_quality__score_0_1,0.10906709394818855,56.23413251903491
COD,governance_plus_controls,rule_of_law__score_0_1,-0.0035289285674476025,56.23413251903491
COD,governance_plus_controls,voice_accountability__score_0_1,0.06298807729655363,56.23413251903491
COD,governance_plus_controls,mineral_rents_pct_gdp,0.08463548070242333,56.23413251903491
COD,governance_plus_controls,log_gdp_per_capita,-0.255135536544382,56.23413251903491
COD,governance_plus_controls,log_gdp,-0.12687481226600456,56.23413251903491
GHA,governance_plus_controls,control_of_corruption__score_0_1,-0.05452871268089275,56.23413251903491
GHA,governance_plus_controls,government_effectiveness__score_0_1,0.0692906840591915,56.23413251903491
GHA,governance_plus_controls,political_stability__score_0_1,0.10088360171166993,56.23413251903491
GHA,governance_plus_controls,regulatory_quality__score_0_1,0.1264171794454971,56.23413251903491
GHA,governance_plus_controls,rule_of_law__score_0_1,-0.02398023516532718,56.23413251903491
GHA,governance_plus_controls,voice_accountability__score_0_1,0.026462101477480914,56.23413251903491
GHA,governance_plus_controls,mineral_rents_pct_gdp,0.0766375269393572,56.23413251903491
GHA,governance_plus_controls,log_gdp_per_capita,-0.2688123025727845,56.23413251903491
GHA,governance_plus_controls,log_gdp,-0.14122188661738905,56.23413251903491
GIN,governance_plus_controls,control_of_corruption__score_0_1,-0.035380554166172216,100.0
GIN,governance_plus_controls,government_effectiveness__score_0_1,0.05777223437479625,100.0
GIN,governance_plus_controls,political_stability__score_0_1,0.0686960747205896,100.0
GIN,governance_plus_controls,regulatory_quality__score_0_1,0.07161428908126057,100.0
GIN,governance_plus_controls,rule_of_law__score_0_1,-0.008901564067886288,100.0
GIN,governance_plus_controls,voice_accountability__score_0_1,0.04740374885688258,100.0
GIN,governance_plus_controls,mineral_rents_pct_gdp,0.07407477412770429,100.0
GIN,governance_plus_controls,log_gdp_per_capita,-0.21194907205316432,100.0
GIN,governance_plus_controls,log_gdp,-0.13447587651924223,100.0
MAR,governance_plus_controls,control_of_corruption__score_0_1,-0.07167229373973495,56.23413251903491
MAR,governance_plus_controls,government_effectiveness__score_0_1,0.08342875209858427,56.23413251903491
MAR,governance_plus_controls,political_stability__score_0_1,0.09068534556942481,56.23413251903491
MAR,governance_plus_controls,regulatory_quality__score_0_1,0.11054872449251871,56.23413251903491
MAR,governance_plus_controls,rule_of_law__score_0_1,-0.010836559585314461,56.23413251903491
MAR,governance_plus_controls,voice_accountability__score_0_1,0.07227093090903093,56.23413251903491
MAR,governance_plus_controls,mineral_rents_pct_gdp,0.0852627267053484,56.23413251903491
MAR,governance_plus_controls,log_gdp_per_capita,-0.26928678223188934,56.23413251903491
MAR,governance_plus_controls,log_gdp,-0.1290719789465436,56.23413251903491
MLI,governance_plus_controls,control_of_corruption__score_0_1,-0.09006732251546191,56.23413251903491
MLI,governance_plus_controls,government_effectiveness__score_0_1,0.04652085869342906,56.23413251903491
MLI,governance_plus_controls,political_stability__score_0_1,0.09753109885738392,56.23413251903491
MLI,governance_plus_controls,regulatory_quality__score_0_1,0.12491525028726783,56.23413251903491
MLI,governance_plus_controls,rule_of_law__score_0_1,0.013855947013210877,56.23413251903491
MLI,governance_plus_controls,voice_accountability__score_0_1,0.09958947424616041,56.23413251903491
MLI,governance_plus_controls,mineral_rents_pct_gdp,0.08868081872745998,56.23413251903491
MLI,governance_plus_controls,log_gdp_per_capita,-0.29395169253999676,56.23413251903491
MLI,governance_plus_controls,log_gdp,-0.13454900584756868,56.23413251903491
MOZ,governance_plus_controls,control_of_corruption__score_0_1,-0.008566456718428147,100.0
MOZ,governance_plus_controls,government_effectiveness__score_0_1,-0.00015717518384942864,100.0
MOZ,governance_plus_controls,political_stability__score_0_1,0.056436907462329884,100.0
MOZ,governance_plus_controls,regulatory_quality__score_0_1,0.03507604324653421,100.0
MOZ,governance_plus_controls,rule_of_law__score_0_1,0.06011236549824178,100.0
MOZ,governance_plus_controls,voice_accountability__score_0_1,0.049824052257729505,100.0
MOZ,governance_plus_controls,mineral_rents_pct_gdp,0.1256296621853241,100.0
MOZ,governance_plus_controls,log_gdp_per_capita,-0.12716347107214154,100.0
MOZ,governance_plus_controls,log_gdp,-0.12063325036240352,100.0
MRT,governance_plus_controls,control_of_corruption__score_0_1,-0.05809816733278312,56.23413251903491
MRT,governance_plus_controls,government_effectiveness__score_0_1,0.05503132354177723,56.23413251903491
MRT,governance_plus_controls,political_stability__score_0_1,0.11230145668360307,56.23413251903491
MRT,governance_plus_controls,regulatory_quality__score_0_1,0.08297773632731574,56.23413251903491
MRT,governance_plus_controls,rule_of_law__score_0_1,0.0048442781788513856,56.23413251903491
MRT,governance_plus_controls,voice_accountability__score_0_1,0.09891756735076071,56.23413251903491
MRT,governance_plus_controls,mineral_rents_pct_gdp,0.03634617971436854,56.23413251903491
MRT,governance_plus_controls,log_gdp_per_capita,-0.3021628212193102,56.23413251903491
MRT,governance_plus_controls,log_gdp,-0.0721075029627491,56.23413251903491
NAM,governance_plus_controls,control_of_corruption__score_0_1,-0.03244421750198922,100.0
NAM,governance_plus_controls,government_effectiveness__score_0_1,0.04919502164901256,100.0
NAM,governance_plus_controls,political_stability__score_0_1,0.06674897357482497,100.0
NAM,governance_plus_controls,regulatory_quality__score_0_1,0.08094320104545286,100.0
NAM,governance_plus_controls,rule_of_law__score_0_1,0.003716419806813098,100.0
NAM,governance_plus_controls,voice_accountability__score_0_1,0.04817689486547545,100.0
NAM,governance_plus_controls,mineral_rents_pct_gdp,0.07319406837201248,100.0
NAM,governance_plus_controls,log_gdp_per_capita,-0.23168486652008086,100.0
NAM,governance_plus_controls,log_gdp,-0.1116048096615081,100.0
NGA,governance_plus_controls,control_of_corruption__score_0_1,-0.0009901712853767788,10000.0
NGA,governance_plus_controls,government_effectiveness__score_0_1,-0.001038483872530391,10000.0
NGA,governance_plus_controls,political_stability__score_0_1,0.0011519852847290356,10000.0
NGA,governance_plus_controls,regulatory_quality__score_0_1,-5.7455904528918046e-05,10000.0
NGA,governance_plus_controls,rule_of_law__score_0_1,5.662485276820236e-06,10000.0
NGA,governance_plus_controls,voice_accountability__score_0_1,0.001030536594283268,10000.0
NGA,governance_plus_controls,mineral_rents_pct_gdp,0.001936755530473493,10000.0
NGA,governance_plus_controls,log_gdp_per_capita,-0.005393577959954014,10000.0
NGA,governance_plus_controls,log_gdp,-0.00494025094267088,10000.0
SEN,governance_plus_controls,control_of_corruption__score_0_1,-0.031375785061060174,100.0
SEN,governance_plus_controls,government_effectiveness__score_0_1,0.03111918621140495,100.0
SEN,governance_plus_controls,political_stability__score_0_1,0.06800852882863528,100.0
SEN,governance_plus_controls,regulatory_quality__score_0_1,0.0806449620543486,100.0
SEN,governance_plus_controls,rule_of_law__score_0_1,0.01854076596501888,100.0
SEN,governance_plus_controls,voice_accountability__score_0_1,0.060031829587063365,100.0
SEN,governance_plus_controls,mineral_rents_pct_gdp,0.06729945078456118,100.0
SEN,governance_plus_controls,log_gdp_per_capita,-0.22149349732709628,100.0
SEN,governance_plus_controls,log_gdp,-0.1350126709509847,100.0
SLE,governance_plus_controls,control_of_corruption__score_0_1,-0.028540600520143247,100.0
SLE,governance_plus_controls,government_effectiveness__score_0_1,0.03266467594682096,100.0
SLE,governance_plus_controls,political_stability__score_0_1,0.07600638782920004,100.0
SLE,governance_plus_controls,regulatory_quality__score_0_1,0.07116877634087111,100.0
SLE,governance_plus_controls,rule_of_law__score_0_1,0.003078736270542439,100.0
SLE,governance_plus_controls,voice_accountability__score_0_1,0.0603735025603746,100.0
SLE,governance_plus_controls,mineral_rents_pct_gdp,0.06756698115642276,100.0
SLE,governance_plus_controls,log_gdp_per_capita,-0.21505298215896745,100.0
SLE,governance_plus_controls,log_gdp,-0.13048293634482203,100.0
TZA,governance_plus_controls,control_of_corruption__score_0_1,-0.028607468865562802,100.0
TZA,governance_plus_controls,government_effectiveness__score_0_1,0.0536669198519505,100.0
TZA,governance_plus_controls,political_stability__score_0_1,0.07394870828424499,100.0
TZA,governance_plus_controls,regulatory_quality__score_0_1,0.06991849353593879,100.0
TZA,governance_plus_controls,rule_of_law__score_0_1,0.012611950225193269,100.0
TZA,governance_plus_controls,voice_accountability__score_0_1,0.04805321821489936,100.0
TZA,governance_plus_controls,mineral_rents_pct_gdp,0.0729606069414384,100.0
TZA,governance_plus_controls,log_gdp_per_capita,-0.22465643832983792,100.0
TZA,governance_plus_controls,log_gdp,-0.11949248614806138,100.0
ZAF,governance_plus_controls,control_of_corruption__score_0_1,0.0017039044326854916,10000.0
ZAF,governance_plus_controls,government_effectiveness__score_0_1,0.0018631114955356808,10000.0
ZAF,governance_plus_controls,political_stability__score_0_1,0.0036544828194874633,10000.0
ZAF,governance_plus_controls,regulatory_quality__score_0_1,0.002839702727394283,10000.0
ZAF,governance_plus_controls,rule_of_law__score_0_1,0.0020058961273948014,10000.0
ZAF,governance_plus_controls,voice_accountability__score_0_1,0.003675743660799816,10000.0
ZAF,governance_plus_controls,mineral_rents_pct_gdp,0.002473670535534513,10000.0
ZAF,governance_plus_controls,log_gdp_per_capita,-0.004759201957433782,10000.0
ZAF,governance_plus_controls,log_gdp,-0.005783735197178188,10000.0
ZMB,governance_plus_controls,control_of_corruption__score_0_1,-0.0774041565000404,56.23413251903491
ZMB,governance_plus_controls,government_effectiveness__score_0_1,0.10368976591288168,56.23413251903491
ZMB,governance_plus_controls,political_stability__score_0_1,0.07980110315976574,56.23413251903491
ZMB,governance_plus_controls,regulatory_quality__score_0_1,0.12232910065845641,56.23413251903491
ZMB,governance_plus_controls,rule_of_law__score_0_1,-0.008150777657827544,56.23413251903491
ZMB,governance_plus_controls,voice_accountability__score_0_1,0.05607229634525698,56.23413251903491
ZMB,governance_plus_controls,mineral_rents_pct_gdp,0.10495164250000341,56.23413251903491
ZMB,governance_plus_controls,log_gdp_per_capita,-0.2757655282728854,56.23413251903491
ZMB,governance_plus_controls,log_gdp,-0.12364622007181089,56.23413251903491
ZWE,governance_plus_controls,control_of_corruption__score_0_1,-0.08032613852328352,56.23413251903491
ZWE,governance_plus_controls,government_effectiveness__score_0_1,0.16241332955219934,56.23413251903491
ZWE,governance_plus_controls,political_stability__score_0_1,0.12647367566989706,56.23413251903491
ZWE,governance_plus_controls,regulatory_quality__score_0_1,-0.008349939594730585,56.23413251903491
ZWE,governance_plus_controls,rule_of_law__score_0_1,-0.06267703711023025,56.23413251903491
ZWE,governance_plus_controls,voice_accountability__score_0_1,0.013339475908885304,56.23413251903491
ZWE,governance_plus_controls,mineral_rents_pct_gdp,0.06123899732356762,56.23413251903491
ZWE,governance_plus_controls,log_gdp_per_capita,-0.21817530691950687,56.23413251903491
ZWE,governance_plus_controls,log_gdp,-0.14901540407065794,56.23413251903491
