iso3,country,rho,pci_point,pci_mc_mean,pci_mc_lower95,pci_mc_upper95,rpci_point,rpci_mc_mean,rpci_mc_lower95,rpci_mc_upper95
GIN,Guinea,0.75,0.29414225867494836,0.29253920215805956,0.23973919580662345,0.3435553601961265,0.2624701343233849,0.2608540353080959,0.20840560203115802,0.3113353467938313
MAR,Morocco,0.75,0.42794369343040756,0.4264510685802484,0.3722920693091771,0.4794896590428125,0.3944419519751744,0.3925586158597803,0.3399407475790362,0.4440051114989771
MLI,Mali,0.75,0.2540266733230246,0.2525920125218903,0.18964916965324446,0.31635643994343277,0.22340192725218225,0.22211147165997108,0.15745594297732915,0.28933878461096174
MOZ,Mozambique,0.75,0.31328736316296957,0.3120505988467928,0.2550972973701616,0.3681046228316148,0.2909093696220394,0.2888351362768405,0.22878177096971308,0.346502368845359
MRT,Mauritania,0.75,0.33092581275758476,0.32926807577090833,0.2744614420311038,0.38205491793252966,0.2963172378875438,0.29447333429636086,0.23948965670510827,0.3482590484042167
NAM,Namibia,0.75,0.5212402345528825,0.5197569482500735,0.4640510614389929,0.5748842623150371,0.48321946332823695,0.4814270104436725,0.42409942791468686,0.5385494153505485
NGA,Nigeria,0.75,0.2905652923174743,0.28976107475571,0.2289623837039732,0.3502407313519826,0.2586857375016803,0.2575728326119683,0.1956218644708065,0.32092960962074996
SEN,Senegal,0.75,0.5094690271353777,0.50718006347758,0.45881349356088424,0.5528002323022366,0.48888102084529605,0.4860802486745065,0.4386067523160983,0.5315092775104651
SLE,Sierra Leone,0.75,0.3329391585317203,0.33225253924587833,0.2800606430631256,0.3826092397349468,0.29445860557125586,0.293736783951022,0.24180567890013077,0.3441433144489131
TZA,Tanzania,0.75,0.42365040699502576,0.4218355187681762,0.3737537886416036,0.4688268168203871,0.40029924678095213,0.39745115949695803,0.348641504733016,0.4442540251813178
ZAF,South Africa,0.75,0.4658048289894366,0.4642451972450711,0.40084099896560155,0.5285519587912978,0.42998321997106026,0.4281018313934255,0.3616484142267842,0.4955759503862477
ZMB,Zambia,0.75,0.3997821392246472,0.39871148467329176,0.34803303407847247,0.4494142855663976,0.3640546986309639,0.36280033781097965,0.3113834987594599,0.4142901779681005
ZWE,Zimbabwe,0.75,0.27430576234077236,0.2733044378607576,0.22190473477278216,0.3231516580561506,0.243067753641624,0.24176712384031124,0.19055615150838173,0.29204025627509195
